,Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Date received,Date sent to company,Company response,Timely response?,Consumer disputed?
22792,1194874,Debt collection,Federal student loan,Disclosure verification of debt,Not given enough info to verify debt,GA,31791,1/15/2015,1/16/2015,Closed with non-monetary relief,Yes,
22793,1194821,Student loan,Non-federal student loan,Dealing with my lender or servicer,,WI,54455,1/15/2015,1/20/2015,Closed with explanation,Yes,Yes
22794,1194820,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,GA,30082,1/15/2015,1/15/2015,Closed with explanation,Yes,
22795,1194817,Debt collection,,Communication tactics,Frequent or repeated calls,NJ,7017,1/15/2015,1/20/2015,Closed with non-monetary relief,Yes,
22796,1194816,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,NJ,7731,1/15/2015,2/4/2015,Closed with explanation,Yes,
22797,1194861,Credit reporting,,Incorrect information on credit report,Personal information,CA,95519,1/15/2015,1/15/2015,Closed with explanation,Yes,Yes
22798,1194163,Credit reporting,,Incorrect information on credit report,Personal information,NC,28027,1/15/2015,1/15/2015,Closed with non-monetary relief,Yes,
22799,1194850,Debt collection,Credit card,Communication tactics,Used obscene/profane/abusive language,PR,771,1/15/2015,1/16/2015,Closed with explanation,Yes,
22800,1194845,Debt collection,Payday loan,Cont'd attempts collect debt not owed,Debt resulted from identity theft,FL,32092,1/15/2015,1/20/2015,Closed,Yes,
22801,1194183,Credit reporting,,Incorrect information on credit report,Information is not mine,UT,84070,1/15/2015,1/15/2015,Closed with non-monetary relief,Yes,
22802,1194838,Debt collection,"Other (phone, health club, etc.)",Communication tactics,Used obscene/profane/abusive language,TX,78553,1/15/2015,1/26/2015,Closed with explanation,Yes,
22803,1194162,Credit reporting,,Incorrect information on credit report,Personal information,NC,28027,1/15/2015,1/15/2015,Closed with non-monetary relief,Yes,
22804,1194161,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,NJ,7087,1/15/2015,1/20/2015,Closed with explanation,Yes,
22805,1194182,Credit reporting,,Incorrect information on credit report,Information is not mine,UT,84070,1/15/2015,1/22/2015,Closed with non-monetary relief,Yes,
22806,1194165,Debt collection,,False statements or representation,Indicated committed crime not paying,IL,61822,1/15/2015,1/15/2015,Closed with explanation,Yes,No
22807,1194164,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not disclosed as an attempt to collect,GA,30068,1/15/2015,1/15/2015,Closed with explanation,Yes,
22808,1194858,Credit reporting,,Incorrect information on credit report,Information is not mine,AR,72762,1/15/2015,1/15/2015,Closed,Yes,Yes
22809,1194859,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,KS,66071,1/15/2015,1/20/2015,Closed with explanation,Yes,
22810,1194176,Credit card,,Other,,PA,18963,1/15/2015,1/16/2015,Closed with monetary relief,Yes,
22811,1194904,Debt collection,Medical,Improper contact or sharing of info,Contacted employer after asked not to,WA,98092,1/15/2015,1/15/2015,Closed with explanation,Yes,
22812,1194507,Consumer loan,Vehicle loan,Managing the loan or lease,,MD,20748,1/15/2015,1/16/2015,Closed with monetary relief,Yes,
22813,1194999,Mortgage,Other mortgage,"Application, originator, mortgage broker",,OH,43760,1/15/2015,1/20/2015,Closed with explanation,Yes,
22814,1194195,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,NJ,8690,1/15/2015,1/20/2015,Closed with explanation,Yes,Yes
22815,1194979,Credit card,,Late fee,,NY,11236,1/15/2015,1/15/2015,Closed with monetary relief,Yes,
22816,1194865,Credit reporting,,Incorrect information on credit report,Account status,TN,37042,1/15/2015,1/22/2015,Closed with explanation,Yes,
22817,1194898,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,TX,76054,1/15/2015,1/15/2015,Closed with explanation,Yes,
22818,1194217,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,NY,11727,1/15/2015,1/20/2015,Closed with explanation,Yes,
22819,1194895,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,CO,80214,1/15/2015,1/15/2015,Closed with non-monetary relief,Yes,
22820,1194976,Credit card,,Other,,CA,94952,1/15/2015,1/15/2015,Closed with explanation,Yes,Yes
22821,1194930,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,NY,11727,1/15/2015,1/15/2015,Closed with explanation,Yes,Yes
22822,1194909,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,CA,92551,1/15/2015,1/15/2015,Closed with explanation,Yes,
22823,1194974,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,OK,73003,1/15/2015,1/15/2015,Closed with explanation,Yes,
22824,1194926,Bank account or service,Checking account,"Account opening, closing, or management",,TX,77029,1/15/2015,1/20/2015,Closed with monetary relief,Yes,
22825,1194923,Bank account or service,Checking account,"Account opening, closing, or management",,FL,32211,1/15/2015,1/15/2015,Closed with explanation,Yes,
22826,1194911,Credit reporting,,Incorrect information on credit report,Account status,TN,37042,1/15/2015,1/22/2015,Closed with non-monetary relief,Yes,
22827,1194970,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,NJ,7724,1/15/2015,1/15/2015,Closed with explanation,Yes,
22828,1194944,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,WI,53130,1/15/2015,1/15/2015,Closed with explanation,Yes,
22829,1194932,Debt collection,"Other (phone, health club, etc.)",Communication tactics,Frequent or repeated calls,AR,85374,1/15/2015,1/21/2015,Closed with non-monetary relief,Yes,
22830,1194957,Credit reporting,,Incorrect information on credit report,Public record,CA,90019,1/15/2015,1/15/2015,Closed with explanation,Yes,
22831,1194965,Credit card,,Advertising and marketing,,TX,77065,1/15/2015,1/15/2015,Closed with explanation,Yes,
22832,1194964,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,WV,25405,1/15/2015,1/15/2015,Closed with explanation,Yes,
22833,1194960,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,VA,22554,1/15/2015,1/20/2015,Closed with explanation,Yes,
22834,1194990,Debt collection,"Other (phone, health club, etc.)",Communication tactics,Threatened to take legal action,IL,60004,1/15/2015,1/15/2015,Closed with explanation,Yes,
22835,1194505,Credit card,,Credit line increase/decrease,,CA,90014,1/15/2015,1/20/2015,Closed with explanation,Yes,
22836,1194980,Credit reporting,,Incorrect information on credit report,Information is not mine,TX,78130,1/15/2015,3/3/2015,Closed with explanation,Yes,
22837,1194997,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,TX,79416,1/15/2015,1/22/2015,Closed with explanation,Yes,
22838,1194381,Consumer loan,Installment loan,Problems when you are unable to pay,,TX,77705,1/15/2015,1/20/2015,Closed with explanation,Yes,
22839,1195652,Payday loan,,Can't contact lender,,CA,92101,1/15/2015,1/20/2015,Untimely response,No,
22840,1194989,Debt collection,"Other (phone, health club, etc.)",Communication tactics,Threatened to take legal action,IL,60004,1/15/2015,1/15/2015,Closed with explanation,Yes,
22841,1194346,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,CA,91773,1/15/2015,1/20/2015,Closed with explanation,Yes,
22842,1194361,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,MD,21205,1/15/2015,1/15/2015,Closed with non-monetary relief,Yes,
22843,1194344,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,CA,94583,1/15/2015,1/15/2015,Closed with explanation,Yes,
22844,1194369,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,IN,46947,1/15/2015,1/20/2015,Closed with explanation,Yes,
22845,1194360,Debt collection,Credit card,Taking/threatening an illegal action,Threatened to sue on too old debt,NC,28451,1/15/2015,1/20/2015,Closed with explanation,Yes,
22846,1194352,Money transfers,International money transfer,Money was not available when promised,,GA,30328,1/15/2015,1/15/2015,Closed with explanation,Yes,
22847,1194349,Bank account or service,Checking account,Problems caused by my funds being low,,CA,90039,1/15/2015,1/28/2015,Closed with explanation,Yes,
22848,1194347,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,MD,21076,1/15/2015,1/15/2015,Closed with explanation,Yes,Yes
22849,1194358,Credit card,,Billing disputes,,CA,92122,1/15/2015,1/15/2015,Closed with explanation,Yes,
22850,1194353,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,CA,90604,1/15/2015,1/15/2015,Closed with explanation,Yes,
22851,1195195,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,CA,92014,1/15/2015,1/20/2015,Closed with explanation,Yes,
